Fuel_consumption,Accelerator_Pedal_value,Absolute_throttle_position,Engine_speed,Current_Gear,Gear_Selection,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Calculated_road_gradient,Steering_wheel_speed,Steering_wheel_angle
448.0,0.0,15.7,795,1,5,0.3,1,0.0,76,-242.5
678.4,3.1,16.9,1138,1,5,0.6,1,0.0,76,-294.3
742.4,10.9,18.0,1376,1,5,0.4,1,13.0,64,-220.2
1216.0,16.8,20.8,1891,1,5,0.7,1,0.0,112,-100.3
1984.0,28.1,32.5,2090,2,5,1.1,1,0.0,72,-30.4
2649.6,32.4,78.8,2333,2,5,1.2,1,-0.5,44,3.2
2803.2,16.8,44.7,2817,2,5,0.9,1,-1.5,16,-14.9
716.8,1.2,15.7,2018,3,5,-0.1,1,-3.0,0,-14.9
716.8,0.0,16.9,1630,4,5,-0.3,2,-4.0,0,-9.9
665.6,0.0,16.5,1713,4,5,-1.1,2,-4.5,4,-3.8
601.6,0.0,16.1,1657,4,5,-1.6,2,-4.5,0,-3.4
204.8,0.0,13.7,1367,4,5,-2.2,2,-4.5,0,-2.2
332.8,0.0,14.5,1306,4,5,-2.4,2,-4.5,4,6.2
345.6,0.0,14.5,940,4,5,-1.9,2,-4.5,0,6.0
345.6,0.0,14.5,908,3,5,-1.7,2,-4.5,0,0.0
486.4,0.0,15.3,1178,3,5,-1.7,2,-4.5,4,-3.7
435.2,0.0,14.9,1099,3,5,-2.1,2,-4.5,0,-0.3
422.4,0.0,15.3,977,3,5,-2.1,2,-4.5,0,-0.8
460.8,0.0,15.7,889,3,5,-2.1,2,-4.5,0,0.3
460.8,0.0,15.7,835,3,5,-2.6,2,-4.0,0,1.1
460.8,0.0,15.3,801,1,5,-2.3,2,-0.5,0,0.5
435.2,0.0,14.9,753,1,5,-1.5,2,-2.0,0,0.5
384.0,0.0,14.9,689,1,5,-1.1,2,-1.5,0,0.5
371.2,0.0,14.9,680,1,5,-1.1,2,-0.5,0,0.5
358.4,0.0,14.9,679,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.9,678,1,5,-1.1,2,0.0,0,0.5
358.4,0.0,14.5,676,1,5,-1.1,2,0.0,0,0.5
358.4,0.0,14.5,673,1,5,-1.1,2,0.0,0,0.5
358.4,0.0,14.9,671,1,5,-1.1,2,0.0,0,0.6
358.4,0.0,14.5,672,1,5,-1.1,2,0.0,0,0.5
358.4,0.0,14.5,671,1,5,-1.1,2,0.0,0,0.6
358.4,0.0,14.5,671,1,8,-1.1,2,-15.0,0,0.8
371.2,0.0,14.5,671,1,5,-1.1,2,-6.5,0,0.5
358.4,0.0,14.5,671,1,5,-1.1,2,0.0,0,0.7
358.4,0.0,14.5,672,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,670,1,5,-1.1,2,13.0,0,0.5
358.4,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.7
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.6
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.6
371.2,0.0,14.5,666,1,5,-1.1,2,0.0,0,0.7
384.0,0.0,14.5,667,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,667,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,666,1,5,-1.1,2,0.0,0,0.6
384.0,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.5
384.0,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.6
371.2,0.0,14.5,672,1,5,-1.1,2,0.0,0,0.8
384.0,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.6
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
384.0,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.6
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.7
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
384.0,0.0,14.5,667,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.5
358.4,0.0,14.5,671,1,5,-1.1,2,0.0,0,0.5
384.0,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.8
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.6
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,0.5
371.2,0.0,14.5,671,1,5,-1.1,2,0.0,0,1.1
384.0,0.0,14.5,669,1,5,-1.1,2,0.0,0,1.2
371.2,0.0,14.5,669,1,5,-1.1,2,0.0,0,1.2
384.0,0.0,14.5,671,1,5,-1.1,2,0.0,0,0.9
371.2,0.0,14.5,668,1,5,-1.1,2,0.0,0,1.2
371.2,0.0,14.5,672,1,5,-1.1,2,0.0,0,1.0
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,1.1
371.2,0.0,14.5,671,1,5,-1.1,2,0.0,0,0.9
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,1.2
384.0,0.0,14.5,670,1,5,-1.1,2,0.0,0,1.1
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,0.9
371.2,0.0,14.5,670,1,5,-1.1,2,0.0,0,2.7
371.2,0.0,14.5,672,1,5,-1.1,2,0.0,0,2.6
371.2,0.0,14.5,679,1,5,0.0,1,0.0,4,9.9
486.4,0.4,15.3,900,1,5,-0.1,1,0.0,0,6.3
409.6,0.0,14.5,1016,1,5,-0.2,1,-8.5,8,-1.1
422.4,0.4,14.5,1069,1,5,-0.2,1,0.0,0,1.8
409.6,1.6,14.9,1134,2,5,-0.4,1,0.0,0,5.5
384.0,0.0,14.1,1350,2,5,-0.7,2,-2.0,0,8.8
320.0,0.0,14.1,1151,2,5,-1.1,2,-6.0,4,3.7
332.8,0.0,14.1,1102,2,5,-0.9,2,-7.5,28,-0.5
448.0,2.7,15.3,1320,2,5,-0.6,1,-9.0,8,-2.2
883.2,12.5,18.4,1967,2,5,-0.1,1,-9.0,0,-1.7
1574.4,18.4,24.7,1894,3,5,0.6,1,-9.0,0,-1.9
1804.8,18.4,27.8,1917,3,5,0.7,1,-9.0,0,0.9
1920.0,18.4,28.2,1948,3,5,0.7,1,-9.0,0,0.9
1497.6,12.5,22.0,1978,3,5,0.4,1,-4.5,0,1.9
691.2,5.1,16.9,1672,4,5,0.0,1,-1.0,0,1.2
371.2,0.0,13.7,1419,4,5,-0.4,1,0.0,0,0.5
435.2,6.6,15.7,1420,4,5,-0.2,1,0.0,0,0.7
691.2,12.5,17.6,1491,4,5,0.0,1,0.0,0,0.1
1164.8,15.6,21.2,1685,4,5,0.3,1,0.5,0,2.6
1420.8,16.4,22.7,1792,4,5,0.4,1,0.0,0,1.6
1484.8,18.4,23.5,1726,4,5,0.5,1,0.0,0,1.2
1382.4,18.4,22.7,1654,4,5,0.4,1,0.5,0,4.1
1267.2,14.8,21.6,1667,4,5,0.4,1,1.5,0,2.6
640.0,3.9,15.7,1620,4,5,-0.1,1,2.0,4,-1.9
166.4,0.0,13.7,1460,4,5,-0.6,1,2.0,0,0.1
0.0,0.0,14.5,1453,4,5,-0.6,1,2.0,0,0.0
1024.0,17.6,20.0,1592,4,5,0.1,1,2.0,0,-3.4
1497.6,11.7,21.6,1818,4,5,0.5,1,2.0,0,-1.6
409.6,0.0,14.5,1392,4,5,-0.3,2,2.0,0,8.5
358.4,0.0,14.5,1224,4,5,-1.1,2,2.0,0,9.5
345.6,0.0,14.5,998,4,5,-2.0,2,2.0,4,16.0
396.8,0.0,15.3,990,3,5,-1.3,2,2.0,0,9.6
435.2,0.0,15.3,928,3,5,-0.9,2,1.5,12,-6.1
435.2,0.0,15.3,864,3,5,-0.6,2,0.5,4,-4.1
422.4,0.0,14.9,840,3,5,-0.2,2,0.0,0,-6.9
409.6,0.0,14.9,841,3,5,-0.1,1,0.0,4,0.9
371.2,0.0,14.5,862,3,5,-0.1,1,0.0,4,-0.6
371.2,0.0,14.5,915,3,5,-0.2,1,0.0,0,-3.5
358.4,0.0,14.5,958,3,5,-0.2,1,-1.0,0,-2.6
460.8,1.2,15.3,1168,3,5,-0.1,1,-2.5,0,-3.4
358.4,0.0,14.5,1110,3,5,-0.3,1,-3.5,0,-1.4
345.6,0.0,14.5,1116,3,5,-0.3,1,-4.5,0,4.5
371.2,0.0,14.9,1179,3,5,-0.3,1,-4.5,0,2.6
486.4,2.7,15.3,1455,3,5,-0.2,1,-5.0,0,0.0
448.0,4.7,14.9,1508,3,5,-0.2,1,-5.0,0,-0.5
486.4,4.3,15.3,1595,3,5,-0.2,1,-5.0,0,0.0
422.4,0.0,14.5,1487,3,5,-0.4,1,-5.0,0,-0.5
422.4,0.0,14.9,1475,3,5,-0.5,1,-5.0,0,0.0
409.6,0.0,14.5,1496,3,5,-0.4,2,-5.0,0,3.3
384.0,0.0,14.5,1472,3,5,-0.7,2,-5.0,52,63.1
384.0,0.0,14.5,1472,3,5,-0.6,1,-5.0,12,69.6
576.0,10.2,16.5,1727,3,5,-0.2,1,-5.0,0,61.0
1164.8,13.3,20.4,1910,3,5,0.3,1,-5.0,0,53.8
883.2,1.6,16.9,1884,3,5,0.1,1,-5.0,20,23.7
1203.2,16.8,21.2,2022,3,5,0.3,1,-5.0,24,2.6
985.6,1.6,17.3,1981,3,5,0.1,1,-5.0,4,8.3
729.6,0.0,17.6,1598,4,5,0.0,1,-5.0,0,7.7
806.4,11.3,17.6,1579,4,5,0.1,1,-5.0,4,1.6
1254.4,19.1,22.7,1619,4,5,0.4,1,-5.0,0,-1.5
1651.2,21.5,27.8,1727,4,5,0.6,1,-4.0,0,-2.9
1369.6,9.4,22.0,1824,4,5,0.3,1,-3.5,0,1.2
422.4,2.0,14.5,1802,4,5,-0.3,1,-2.5,0,4.1
883.2,12.1,18.4,1832,4,5,0.1,1,-1.5,0,-0.5
1036.8,12.5,19.2,1873,4,5,0.1,1,-1.0,0,-1.6
908.8,6.6,17.3,1903,4,5,0.0,1,-0.5,0,0.5
345.6,0.0,14.1,1871,4,5,-0.5,1,-0.5,0,2.7
422.4,6.6,15.7,1847,4,5,-0.2,1,-0.5,0,2.6
652.8,9.4,16.9,1842,4,5,-0.1,1,-0.5,0,2.7
793.6,10.5,17.6,1856,4,5,0.0,1,-0.5,0,-0.7
678.4,3.5,16.1,1847,4,5,-0.1,1,-0.5,0,1.1
358.4,0.0,14.1,1774,4,5,-0.4,1,0.0,0,3.0
1113.6,12.1,20.0,1858,4,5,0.2,1,0.0,0,8.0
576.0,0.4,14.9,1823,4,5,-0.3,2,0.0,4,1.9
166.4,0.0,14.5,1765,4,5,-0.7,2,0.0,0,0.0
51.2,0.0,14.9,1692,4,5,-0.5,1,0.0,0,-1.8
537.6,4.7,15.7,1668,4,5,-0.1,1,0.0,0,0.0
448.0,3.1,14.9,1611,4,5,-0.3,1,0.0,0,2.3
320.0,0.0,13.7,1528,4,5,-0.5,1,0.0,0,0.0
192.0,0.0,15.3,1565,4,5,-0.4,1,0.0,0,0.0
524.8,2.7,15.3,1518,4,5,-0.2,1,0.0,0,0.5
473.6,7.8,15.7,1527,4,5,-0.2,1,0.0,0,0.8
1216.0,16.0,20.8,1575,4,5,0.3,1,0.0,4,1.6
729.6,1.2,15.7,1574,4,5,-0.1,1,0.0,0,-1.6
140.8,0.0,14.1,1538,4,5,-0.5,1,0.0,0,-1.9
0.0,0.0,14.9,1466,4,5,-0.5,2,0.0,0,0.8
0.0,0.0,14.1,1385,4,5,-0.6,2,0.0,0,0.0
12.8,0.0,13.7,1259,4,5,-0.6,2,0.0,0,1.2
307.2,0.0,14.1,977,4,5,-0.4,2,0.0,0,0.9
345.6,0.0,14.1,978,4,5,-0.8,2,0.0,0,0.9
358.4,0.0,14.1,939,4,5,-1.5,2,0.0,0,0.9
409.6,0.0,14.9,1020,3,5,-1.6,2,0.0,0,3.0
460.8,0.0,14.9,922,3,5,-1.5,2,0.0,4,0.0
460.8,0.0,15.3,855,3,5,-1.6,2,0.0,0,1.6
435.2,0.0,14.9,808,1,5,-1.4,2,-1.0,0,1.6
396.8,0.0,14.9,763,1,5,-0.5,2,0.0,0,1.4
332.8,0.0,14.5,681,1,5,-0.1,2,0.0,0,1.5
345.6,0.0,14.5,678,1,5,-0.1,2,0.0,0,1.3
332.8,0.0,14.5,672,1,5,-0.1,2,0.0,0,1.2
345.6,0.0,14.5,668,1,5,-0.1,2,0.0,0,1.6
332.8,0.0,14.5,667,1,5,-0.1,2,0.0,0,1.3
332.8,0.0,14.5,667,1,5,-0.1,2,0.0,0,1.4
345.6,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.5
332.8,0.0,14.5,664,1,5,-0.1,2,0.0,0,1.5
345.6,0.0,14.5,663,1,5,-0.1,2,0.0,0,1.5
332.8,0.0,14.5,666,1,5,-0.1,2,0.0,0,1.3
332.8,0.0,14.5,667,1,5,-0.1,2,0.0,0,1.5
345.6,0.0,14.5,664,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.5,669,1,5,-0.1,2,0.0,0,1.4
345.6,0.0,14.5,662,1,5,-0.1,2,0.0,0,1.2
345.6,0.0,14.5,665,1,5,-0.1,2,0.0,0,1.6
345.6,0.0,14.5,664,1,5,-0.1,2,0.0,0,1.2
345.6,0.0,14.5,665,1,5,-0.1,2,0.0,0,1.2
358.4,0.0,14.5,666,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.9,666,1,5,-0.1,2,0.0,0,1.6
345.6,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.3
358.4,0.0,14.5,671,1,5,-0.1,2,0.0,0,1.3
345.6,0.0,14.5,668,1,5,-0.1,2,0.0,0,1.6
345.6,0.0,14.5,664,1,5,-0.1,2,0.0,0,1.3
345.6,0.0,14.5,667,1,5,-0.1,2,0.0,0,1.2
345.6,0.0,14.5,672,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.5,668,1,5,-0.1,2,0.0,0,1.6
345.6,0.0,14.5,672,1,5,-0.1,2,0.0,0,1.5
358.4,0.0,14.5,665,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.5,675,1,5,-0.1,2,0.0,0,1.4
345.6,0.0,14.5,666,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.9,669,1,5,-0.1,2,0.0,0,1.5
358.4,0.0,14.5,673,1,5,-0.1,2,0.0,0,1.6
345.6,0.0,14.5,668,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.5
358.4,0.0,14.9,665,1,5,-0.1,2,0.0,0,1.5
345.6,0.0,14.5,672,1,5,-0.1,2,0.0,0,1.5
358.4,0.0,14.5,667,1,5,-0.1,2,0.0,0,1.6
371.2,0.0,14.9,669,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.9,669,1,5,-0.1,2,0.0,0,1.6
358.4,0.0,14.5,672,1,5,0.1,2,0.0,0,1.2
358.4,0.0,14.9,679,1,5,0.2,2,0.0,0,1.3
345.6,0.0,14.5,666,1,5,-0.2,2,0.0,0,1.2
358.4,0.0,14.5,666,1,5,-0.3,2,0.0,0,1.6
358.4,0.0,14.5,671,1,5,-0.2,2,0.0,0,1.5
345.6,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.4
358.4,0.0,14.5,673,1,5,-0.1,2,0.0,0,1.5
345.6,0.0,14.5,673,1,5,-0.1,2,0.0,0,1.4
358.4,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.5
358.4,0.0,14.5,672,1,5,0.0,2,0.0,0,1.5
345.6,0.0,14.5,671,1,5,-0.1,2,0.0,0,1.3
371.2,0.0,14.9,663,1,5,-0.1,2,0.0,0,1.2
371.2,0.0,14.5,674,1,5,0.0,2,0.0,0,1.6
358.4,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.3
358.4,0.0,14.5,670,1,5,-0.1,2,0.0,0,1.9
371.2,0.0,14.5,674,1,5,0.1,1,0.0,0,5.5
371.2,0.0,14.5,712,1,5,0.3,1,0.0,0,7.3
588.8,3.1,16.5,970,1,5,0.7,1,0.0,4,8.8
704.0,5.5,17.3,1246,1,5,0.8,1,0.0,8,4.1
652.8,7.0,16.9,1373,1,5,0.3,1,13.0,0,-2.2
1036.8,14.1,19.6,1712,1,5,0.8,1,0.0,0,-6.5
1318.4,14.5,21.2,2002,1,5,0.8,1,0.0,4,-4.5
1305.6,11.7,21.2,1759,2,5,0.8,1,0.0,0,-6.6
691.2,3.1,16.5,1706,2,5,0.0,1,-0.5,0,-11.8
960.0,12.1,18.8,1850,2,5,0.3,1,0.0,0,-16.3
972.8,7.4,18.0,1935,2,5,0.3,1,1.0,0,-19.9
448.0,0.0,14.9,1388,2,5,-0.3,2,1.0,8,-34.6
448.0,0.0,15.3,1160,3,5,-0.8,2,1.0,4,-35.4
448.0,0.0,15.3,1032,3,5,-0.8,2,1.0,4,-28.2
448.0,0.0,15.3,956,3,5,-0.1,1,0.0,0,-33.6
601.6,6.2,16.9,1113,3,5,0.1,1,0.0,8,-22.1
716.8,4.7,17.3,1256,3,5,0.3,2,0.0,8,-13.3
448.0,0.0,14.9,1018,3,5,-0.1,1,0.0,0,-6.2
396.8,0.0,14.9,967,3,5,-0.1,1,0.0,36,41.6
396.8,0.0,14.9,940,3,5,-0.3,2,0.0,56,93.3
409.6,0.0,14.9,923,3,5,-0.2,1,0.0,4,97.0
435.2,0.0,15.7,935,3,5,-0.1,1,0.0,12,108.5
729.6,9.4,17.6,1230,3,5,0.2,1,0.0,12,120.9
1088.0,14.5,21.2,1488,3,5,0.5,1,0.0,0,123.6
1574.4,16.8,26.3,1729,3,5,0.8,1,0.5,20,101.7
1792.0,17.2,30.6,1791,3,5,0.9,1,1.0,68,28.4
1830.4,13.7,38.0,1698,3,5,0.8,1,2.0,32,-1.9
806.4,0.0,16.5,1636,3,5,0.1,2,2.5,12,-7.7
